,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Meryem Delal Okçu","2020-12-31 10:55:21",16,no,no,"Olum izleyince gözlerim doldu :)",UCDKdUa7CnmzYEMCq7yrhdAA,Ugw1B_-jH2lxhz4UU_R4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugw1B_-jH2lxhz4UU_R4AaABAg
2,,"Azra Aybars","2020-12-31 12:45:01",3,no,no,🦋🌎🌊🔥🎹💙🎧💙🎹🔥🌊🌍🦋,UCO9gM3IHFB7gLxvDqLqn4GQ,UgwMIAJZ_feTIhHVTbN4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwMIAJZ_feTIhHVTbN4AaABAg
3,,"Azra Aybars","2020-12-31 12:48:12",21,no,no,"🦋🇹🇷🌎🌊🎹💙🎧💙🎹🌊🌍🇩🇪🦋


DANKE 🙏💕",UCO9gM3IHFB7gLxvDqLqn4GQ,Ugy8O4nbs0nATtZh47Z4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugy8O4nbs0nATtZh47Z4AaABAg
4,,irem,"2020-12-31 16:47:33",4,no,no,"İts really beautiful I m from turkey and I love it♥️",UC1i1ETuo9x-1NdLzkCDx_-w,UgxY7zdBUi6hB0GCS554AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxY7zdBUi6hB0GCS554AaABAg
5,,Tuana,"2020-12-31 17:56:01",4,no,no,"Brauche von dem Jungen Herren 0:13 sein insta für ein Schulprojekt natürlich 🧚🏻",UC260mvVvHxlZs-EBbRfeEsA,UgzmwjbgrPuUKBZ4G594AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzmwjbgrPuUKBZ4G594AaABAg
6,,"bcompany kream","2020-12-31 19:53:54",15,no,no,"Türk milleti budur 
İM TURKİSH ❤️🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",UCIT9b-W-hutwJ10jXrn42IQ,UgyOzVX9q7vcEAU7Euh4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyOzVX9q7vcEAU7Euh4AaABAg
7,,"Arnol Reyes Segura","2021-01-01 00:18:36",1,no,no,"Just beautiful 😢😢😭❤❤",UCzNvyT4GncOp7i-v4BMXCpQ,Ugx8FAVceXfshdeLFwp4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugx8FAVceXfshdeLFwp4AaABAg
8,,"Yalniz Kurt","2021-01-01 02:17:22",3,no,no,"7594 Menschen die den Sinn des Videos und die Message die darin enthalten ist nicht verstanden haben. Echt traurig!",UC-WU5veEXmANljo8saC60jg,UgzCh0ZYi9psXcWk1Dl4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzCh0ZYi9psXcWk1Dl4AaABAg
9,,"Bärklinn Olsson","2021-01-01 11:23:32",19,no,no,"Edeka ist ziemlich krass👍👍❤️  🇩🇪 🇹🇷",UCEYfiGBHvSM9uKMAfWg7KZw,UgyCYgNxvMfAuGMUplZ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyCYgNxvMfAuGMUplZ4AaABAg
10,,"Dieter Sturm","2021-01-01 16:28:53",4,no,no,"Was ist nur aus Deutschland geworden?",UCoJULgPSR5ZaBUfDLuzou1g,UgwZeFR45PIr1XM_odt4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwZeFR45PIr1XM_odt4AaABAg
11,,"Berkan BJK","2021-01-01 23:29:54",2,no,no,"Super 👍🏽",UCoHuJIIKRDY3ZY33HW6g_LA,UgyKslEgPZheTF87PCh4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyKslEgPZheTF87PCh4AaABAg
12,,"Herr I.","2021-01-01 23:30:06",3,no,no,"Einfach nur traurig. Natürlich sagen die ganzen Deutschen, dass es sowas nicht gibt, sie haben ja auch nie Rassismus erlebt.",UCJ32hreH6iQb0qlziGxzj3g,UgwQTmLyj3MV6ATSyjV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwQTmLyj3MV6ATSyjV4AaABAg
13,,"Gamze Rabia","2021-01-02 00:33:06",5,no,no,"Das erste mal dass ich wegen ner Werbung geweint habe... blöde Kommentare hin oder her es hätten auch zwei deutsche sein können wichtig ist dass jeder füreinander da ist in so einer Zeit wie jetzt!!!!",UCRptAGbexofhtIozyQEfErA,UgzczdnR_I3o70KWTOR4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzczdnR_I3o70KWTOR4AaABAg
14,,"Sam Lam","2021-01-02 10:03:36",0,no,no,"Herr Schmidt erinnert mich stark an Herrn Gauland - zumal er den Weihnachtsgruß nicht erwiderte
#nachbarn",UCwrbn45RKTYESq0EI3rTcKA,UgwlHpyYFOG4yX9E6ul4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwlHpyYFOG4yX9E6ul4AaABAg
15,,"Lee Hye-ri #WeLoveYouHanJisung","2021-01-02 10:10:55",9,no,no,"I am from Turkey,and this video is....
Danke ✨",UCOv0PS-GdLnWQxjV183T3OA,Ugz4xKC2Et3R5jOpoDF4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugz4xKC2Et3R5jOpoDF4AaABAg
16,,Julesc08,"2021-01-02 16:48:00",2,no,no,"BONJOUR MADAME MALENON 🤣🤣😌",UCzs1sllAW0Bz2Lp6jDvcFpg,Ugwl_4YTWqMvRbmBmKZ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugwl_4YTWqMvRbmBmKZ4AaABAg
17,,"DARBELI MATKAP","2021-01-02 19:35:02",0,no,no,"Bro that actually made me cry even though i don't understand, this hate towards us(turks) just shock me.",UC6objT7Ca4gW5alMClggnIw,UgxrLeJHbrgVl5DjWMJ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxrLeJHbrgVl5DjWMJ4AaABAg
18,,Rüveyda,"2021-01-02 21:16:35",11,no,no,"Thank you for this from TURKEY 💕",UCeFiOeRU81ku7VoHz-67Ofg,UgwdJcd3L05i89n8j0N4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwdJcd3L05i89n8j0N4AaABAg
19,,"Sükran Ozan","2021-01-03 01:10:54",4,no,no,"Danke Edeka❤",UCmfrnkDcEscLkP32KK1g-wg,Ugxp8F-V6rev8vcEN-l4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugxp8F-V6rev8vcEN-l4AaABAg
20,,"M RE","2021-01-03 02:47:55",3,no,no,"Wenn der Herr Schmidt noch von Coşkun vergewaltigt worden wäre, dann wäre dieser Spot definitiv ein Yeşilçam-Film geworden. 🤣👍",UC_fHVtKJ6DtLcnSyb9HvPlQ,Ugw0sGs3m-_Ar5DaZJB4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugw0sGs3m-_Ar5DaZJB4AaABAg
21,,"RTA-Tarık Atmaca","2021-01-03 03:01:39",8,no,no,🇹🇷🇩🇪,UC2c9dYowuKMb7-1-Y_EAnpQ,UgzhkRzq-iKco1zx5BV4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzhkRzq-iKco1zx5BV4AaABAg
22,,"Safak Ozgun","2021-01-03 06:51:19",2,no,no,"Thank you for this ad 🇩🇪 🇹🇷",UCa38d9S1_-2qE_H00f4aRRA,UgzJGFSeK3SnbbH3yUh4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzJGFSeK3SnbbH3yUh4AaABAg
23,,"Draco Malfoy","2021-01-03 10:00:17",1,no,no,"0:12 what's his name does anyone know?",UCYCCljtIzydTEGxpHD1J-9g,Ugz5xcWGw3ZS5sm38l14AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugz5xcWGw3ZS5sm38l14AaABAg
24,,"Berkay Akdeniz","2021-01-03 11:00:29",7,no,no,🇹🇷🇩🇪,UCHtSvFvRMYgsd4jICaNCXnA,Ugx9oXQPUjFoOkAbXfh4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugx9oXQPUjFoOkAbXfh4AaABAg
25,,"sude uzumaki","2021-01-03 11:49:46",13,no,no,"Germans are really nice people. I am Turkish and I wanna go to a country where there is no racism. Germany must be a good country for this. thanks i love you 😌💖 (but german is very hard lol)",UCSwUTbd0vRgonvH2R2x1ICw,UgwdAwIla36EehMR42l4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwdAwIla36EehMR42l4AaABAg
26,,"merym gnydn","2021-01-04 00:30:56",9,no,no,🇹🇷🇩🇪,UCgG5tj6LsUcZ09R-Fx5vr9A,UgzoEmp3oxqNrkd3deZ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgzoEmp3oxqNrkd3deZ4AaABAg
27,,"rayco ceycey","2021-01-04 01:24:45",3,no,no,"Danke EDEKA",UCh6wIRd3lIGGKc_dUhYXviA,Ugwa855Ty6m5OTASBJR4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugwa855Ty6m5OTASBJR4AaABAg
28,,"Mustafa Sofi","2021-01-04 07:40:38",0,no,no,Krass,UCeys5n_3Dl5eCKu5Y7fryOg,UgynSxvNYmLXM4Y4yvp4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgynSxvNYmLXM4Y4yvp4AaABAg
29,,"MCK Kamalı","2021-01-04 13:14:48",1,no,no,"👏🏻👏🏻 (🇹🇷🇹🇷🇹🇷)👍🏻🥰
                   🤘🏻",UCSDXumMxYaqkSrqSI2S8j-A,UgxWHMvnedPRczlDY6d4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxWHMvnedPRczlDY6d4AaABAg
30,,"Andi Meier","2021-01-04 17:21:52",2,no,no,"Das für einander da sein, und der Respekt zwischen den Menschen ist die wichtigste Ressource in unserem Land. Das es  jedoch solche Schreiben an Türen gibt und Menschen von den Behörden so oder ähnlich ins Abseits gestellt werden, ist leider auch Realität. Aber unsere Gesellschaft wird es auch ohne die dafür Verantwortlichen schaffen und sich den sozialen Zusammenhalt nicht nehmen lassen.",UCmIEuQAbR7Akx7JUWbq67aw,UgxJ--OCgnwqZlX90FR4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxJ--OCgnwqZlX90FR4AaABAg
31,,"Ilyas Algül","2021-01-04 21:06:20",4,no,no,🇹🇷🇩🇪,UC4N6ychpRCBEm3Q0ttErQdA,Ugw8jCEei697_ukxdIt4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugw8jCEei697_ukxdIt4AaABAg
32,,"ayşem yaprak","2021-01-05 06:05:41",4,no,no,"Thanks for this add",UCVK8kXxTIW6LTOevrPJ_GmA,UgwE5cg0nNgkRtnkX094AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwE5cg0nNgkRtnkX094AaABAg
33,,"UNGLAUBLİCH_ 001","2021-01-05 19:16:14",52,no,no,"TÜRK'ün olduğu yerde Huzur vardır,  Merhamet vardır, Cömertlik vardır. .
İnsanlık, dostluk, Paylaşım vardır. ...",UC6v7A9elQUVbzJZew_fo6FQ,UgxAR_ixiAjHVtxJlE14AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxAR_ixiAjHVtxJlE14AaABAg
